Rank,Player,Position,Age,Date,League,Team,Opp,Result,Game,Week,Day,Targets,Recs,Rec_Yards,Yards_per_Rec,Rec_TD,Catch_Percentage,Yard_per_Target
64,Sammy Watkins,WR,26.149,2019-11-10,NFL,KAN,TEN,L 32-35,10,10,Sun,9,5,39,7.8,0,55.6,4.33
65,Joe Mixon,HB,23.109,2019-11-10,NFL,CIN,BAL,L 13-49,9,10,Sun,3,2,37,18.5,0,66.7,12.33
66,Anthony Firkser,TE,24.264,2019-11-10,NFL,TEN,KAN,W 35-32,10,10,Sun,4,3,36,12.0,1,75.0,9.0
67,Auden Tate,WR,22.28,2019-11-10,NFL,CIN,BAL,L 13-49,9,10,Sun,6,3,36,12.0,0,50.0,6.0
68,Blake Jarwin,TE,25.117,2019-11-10,NFL,DAL,MIN,L 24-28,9,10,Sun,4,3,35,11.67,0,75.0,8.75
69,Curtis Samuel,WR,23.091,2019-11-10,NFL,CAR,GNB,L 16-24,9,10,Sun,8,4,35,8.75,1,50.0,4.38
70,Malik Turner,WR,23.285,2019-11-11,NFL,SEA,SFO,W 27-24,10,10,Mon,2,2,35,17.5,0,100.0,17.5
71,Le'Veon Bell,RB,27.265,2019-11-10,NFL,NYJ,NYG,W 34-27,9,10,Sun,4,4,34,8.5,0,100.0,8.5
72,Irv Smith Jr.,TE,21.093,2019-11-10,NFL,MIN,DAL,W 28-24,10,10,Sun,6,5,34,6.8,0,83.3,5.67
73,Christian McCaffrey,RB,23.156,2019-11-10,NFL,CAR,GNB,L 16-24,9,10,Sun,7,6,33,5.5,0,85.7,4.71
74,Scott Miller,WR,22.102,2019-11-10,NFL,TAM,ARI,W 30-27,9,10,Sun,3,2,33,16.5,0,66.7,11.0
75,Tevin Coleman,RB,26.209,2019-11-11,NFL,SFO,SEA,L 24-27,9,10,Mon,4,4,32,8.0,0,100.0,8.0
76,Allen Hurns,WR,27.363,2019-11-10,NFL,MIA,IND,W 16-12,9,10,Sun,4,2,32,16.0,0,50.0,8.0
77,Damien Williams,RB,27.221,2019-11-10,NFL,KAN,TEN,L 32-35,10,10,Sun,5,5,32,6.4,0,100.0,6.4
78,Chester Rogers,WR,25.302,2019-11-10,NFL,IND,MIA,L 12-16,9,10,Sun,4,2,31,15.5,0,50.0,7.75
79,Saquon Barkley,RB,22.274,2019-11-10,NFL,NYG,NYJ,L 27-34,10,10,Sun,5,5,30,6.0,0,100.0,6.0
80,Hunter Henry,TE,24.335,2019-11-07,NFL,LAC,OAK,L 24-26,10,10,Thu,7,4,30,7.5,1,57.1,4.29
81,Nyheim Hines,RB,22.363,2019-11-10,NFL,IND,MIA,L 12-16,9,10,Sun,7,4,30,7.5,0,57.1,4.29
82,Josh Jacobs,RB,21.269,2019-11-07,NFL,OAK,LAC,W 26-24,9,10,Thu,5,3,30,10.0,0,60.0,6.0
83,Jonnu Smith,TE,24.08,2019-11-10,NFL,TEN,KAN,W 35-32,10,10,Sun,6,4,30,7.5,0,66.7,5.0
84,Danny Amendola,WR,34.008,2019-11-10,NFL,DET,CHI,L 13-20,9,10,Sun,9,4,29,7.25,0,44.4,3.22
85,Pharoh Cooper,WR,24.248,2019-11-10,NFL,ARI,TAM,L 27-30,10,10,Sun,5,2,29,14.5,0,40.0,5.8
86,Austin Ekeler,RB,24.174,2019-11-07,NFL,LAC,OAK,L 24-26,10,10,Thu,2,2,29,14.5,1,100.0,14.5
